siren,siret_siege,denomination,nom_usage,sigle,naf,naf_numerique,tags_numerique,categorie_juridique,famille_ess,flag_ess_sirene,est_active,date_creation,tranche_effectifs,annee_effectifs,categorie_entreprise,caractere_employeur,societe_mission,rna,code_postal,commune,site_web,nom_structure_porteuse,sources,origines,methode_jointure,confiance_jointure,score_enrichissement
306215179,30621517900012,FEDERATION ASSOCI REGIO PENELO,,,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,W751234290,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
306387390,30638739000017,OFFICE POUR INFORMAT DOCUMENT APICULTURE,,OPIDA,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,,,,W612000586,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
306988072,30698807200063,SOC ETUDE SYSTEMES INFORMATIONS,,SESIN,62.01Z,True,dev_logiciel,5710.0,,True,True,1976-01-01,11,2023.0,PME,,N,,,,,,sirene,ess_flag_insee,siren_direct,1.0,0.58
307167965,30716796500036,CELLULE ECONOM REGION AUVERGNE,,BTPMC,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,W632005753,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
308051135,30805113500025,ASS DEP MAIRES ADJOINTS ET CONSEIL GENER,,,62.02A,True,conseil_it,9220.0,association,True,True,1982-10-01,11,2023.0,PME,,,W741000558,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
308208461,30820846100019,ARSOE NORD EST,,,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,03,2023.0,PME,,,W543006859,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
308245828,30824582800022,CENTRE LATINO AMERICAIN,,,63.11Z,True,hebergement,9220.0,association,True,True,1976-04-30,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
308391358,30839135800014,ASS SECR OBJE CONSCIENCE,,,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
309032589,30903258900025,CENTRE INFORMATIQUE HLM DE PICARDIE,,CIPHLM,63.11Z,True,hebergement,9220.0,association,,False,1900-01-01,NN,,,,,,,,,,sirene,cate_x_naf,siren_direct,1.0,0.67
309265981,30926598100022,Le Kaléidoscope,,,74.8B,False,,5499.0,,,True,1977-12-25,NN,,,,,,76140.0,LE PETIT QUEVILLY,http://www.le-kaleidoscope.fr,Les Copeaux Numériques,tiers_lieux,tiers_lieux,scoring,1.0,0.83
