siren,denominationUniteLegale,nomUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale,categorieJuridiqueUniteLegale,trancheEffectifsUniteLegale,sources,methode_jointure
302997986,ASS DOCUMENTATION SCIENT INDUST COMMERCI,,63.11Z,O,9220,NN,sirene,siren_direct
303891915,ASSOC FRANCAISE MICADO,,63.11Z,O,9220,02,sirene,siren_direct
306016411,CENTRE CULTUREL LUTHERIEN DE PARIS,,63.11Z,O,9220,NN,sirene,siren_direct
306169905,CARREFOUR INTERPROFESSIONNEL DU MONDE AGRICOLE,,63.11Z,O,9220,NN,sirene,siren_direct
306215179,FEDERATION ASSOCI REGIO PENELO,,63.11Z,O,9220,NN,sirene,siren_direct
306387390,OFFICE POUR INFORMAT DOCUMENT APICULTURE,,63.11Z,O,9220,NN,sirene,siren_direct
306988072,SOC ETUDE SYSTEMES INFORMATIONS,,62.01Z,O,5710,11,sirene,siren_direct
307167965,CELLULE ECONOM REGION AUVERGNE,,63.11Z,O,9220,NN,sirene,siren_direct
308051135,ASS DEP MAIRES ADJOINTS ET CONSEIL GENER,,62.02A,O,9220,11,sirene,siren_direct
308208461,ARSOE NORD EST,,63.11Z,O,9220,03,sirene,siren_direct
308245828,CENTRE LATINO AMERICAIN,,63.11Z,O,9220,NN,sirene,siren_direct
308391358,ASS SECR OBJE CONSCIENCE,,63.11Z,O,9220,NN,sirene,siren_direct
309266633,CENTRE ECONOMIE GESTION POUR ARTISANS,,62.02A,O,9260,NN,sirene,siren_direct
309370997,CTRE INTERDEP TRAIT INFORM MUTUEL AGRI,,63.11Z,O,9220,NN,sirene,siren_direct
309859767,GROUPE ETUDE RECHERCHE INFORMAT APPLIQ,,62.01Z,O,9220,NN,sirene,siren_direct
310238894,CONSEILS ET SERVICES POUR L'INFORMATIQUE,,58.29C,O,5560,NN,sirene,siren_direct
311158380,CAICL INFORM CONSTR DE LORRAIN,,63.11Z,O,9260,01,sirene,siren_direct
311337240,SOCIETE DES PHARMACIENS DU CENTRE,,63.11Z,O,5560,12,sirene,siren_direct
311768972,CIMA EST,,63.11Z,O,9220,NN,sirene,siren_direct
312365042,CIMARAL CENT INFORM MUT AGRICO,,62.02A,O,9220,NN,sirene,siren_direct
312409204,NOISY LE GRAND AUJOURD HUI DEMAIN,,63.11Z,O,9220,NN,sirene,siren_direct
312868755,ASSOCIATION  POUR LE PAYS D' OC,,63.11Z,O,9220,NN,sirene,siren_direct
313167116,SERVICES ET MAINTENANCE INFORMATIQUE,,62.01Z,O,5532,NN,sirene,siren_direct
313641557,OFFICE GESTION ENTREP ARTISANALES OISE,,62.02A,O,9220,NN,sirene,siren_direct
