siren,denominationUniteLegale,activitePrincipaleUniteLegale,sources,methode_jointure
389465352,ASS RRESALP,63.11Z,ess_france|sirene,siren_direct
389607789,LORRAINE COMPACT DISQUE INTERACTIF,63.11Z,ess_france|sirene,siren_direct
389612185,JUNIOR ESIEA,62.01Z,ess_france|sirene,siren_direct
389805169,PASSEPORT LOISIRS,63.11Z,ess_france|sirene,siren_direct
390090827,MICROTEL CLUB,62.02A,ess_france|sirene,siren_direct
390262178,I.S.C. INFORMATIQUE SERVICE,62.01Z,ess_france|sirene,siren_direct
390358190,PROMOTION MICRO-INFORMATIQUE CORREZE,62.02A,ess_france|sirene,siren_direct
390434793,ES CLUB,62.01Z,ess_france|sirene,siren_direct
390470193,CLUB INFORMATIQUE POUR TOUS,63.11Z,ess_france|sirene,siren_direct
390681641,EDM 24,63.11Z,ess_france|sirene,siren_direct
390794022,I.L.D.I.,62.02A,ess_france|sirene,siren_direct
390850139,3IL ENTREPRISE,62.02A,ess_france|sirene,siren_direct
390891489,PUISSANCE MAC,62.02A,ess_france|sirene,siren_direct
390914455,GROUP OF TERRESTRIAL FREIGHT FORWARDERS GROUPE DE TRANSPORTEURS FRANCAIS GTF,62.02A,ess_france|sirene,siren_direct
390989648,ASS LANGUES ET INFORMATIQUE,62.01Z,ess_france|sirene,siren_direct
391111978,INFOTRANS BOURGOGNE-FRANCHE COMTE,63.11Z,ess_france|sirene,siren_direct
391238870,SERV APTITUDE TELCOM HARDWARE ELECTRONIQ,62.02A,ess_france|sirene,siren_direct
391256252,ACCES TELEMATIQUE,63.11Z,ess_france|sirene,siren_direct
391333895,MV GRAPHIQUE,62.01Z,ess_france|sirene,siren_direct
391469202,GROUPE STANDARD CTOS,62.02A,ess_france|sirene,siren_direct
391786878,ASSOC TILDE INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
391811387,MOTOWORLD,63.11Z,ess_france|sirene,siren_direct
391880994,STATION MUSIQUE SERVICE,63.11Z,ess_france|sirene,siren_direct
392046033,TENZOR AR BREZHOMEG,63.11Z,ess_france|sirene,siren_direct
392077442,DEVELOPPEMENT CONCEPT INFORMAT TELEMAT,62.01Z,ess_france|sirene,siren_direct
392082103,VOSGES SERVICES INFORMATIQUES,63.11Z,ess_france|sirene,siren_direct
392304606,ASSOCIATION GEMACI,63.11Z,ess_france|sirene,siren_direct
392598116,TELECOM NANCY SERVICES,62.01Z,ess_france|sirene,siren_direct
392800140,GAMME NBC,62.01Z,ess_france|sirene,siren_direct
393202056,ASS POUR MOYENS TECHNIQUES INFORMATIQUES,62.02A,ess_france|sirene,siren_direct
393267091,BOSCOP,62.01Z,ess_france|sirene,siren_direct
393306139,ASS MARKETEL,62.02A,ess_france|sirene,siren_direct
393327622,DEVELOPPEMENT DIFFUSION INFORMATIQUE,62.01Z,ess_france|sirene,siren_direct
393420492,ASSOC RECHERCHE NOUVELLE TECHNOLOGIE,63.11Z,ess_france|sirene,siren_direct
393518105,ASS DE SOUTIEN TECHNICIENS INFORMATIQUE,62.01Z,ess_france|sirene,siren_direct
393531280,CTRE RESSOUR DOCUM TRANSFRONT LORRAINE,63.12Z,ess_france|sirene,siren_direct
393534698,ASS FACILOG INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
393616008,HEREDIS,58.29C,ess_france|sirene,siren_direct
393651732,ASSOCIATION MICRO INFORMATIQUE ST WITZ,63.11Z,ess_france|sirene,siren_direct
393783006,ASSOCIATION EUROSESAME,63.11Z,ess_france|sirene,siren_direct
393804406,INFORM COMPT CONSEIL ASSIST FORMATION,63.11Z,ess_france|sirene,siren_direct
394225122,ARCANES,62.02A,ess_france|sirene,siren_direct
394385041,DIALOG,62.02A,ess_france|sirene,siren_direct
394438311,ASSOCIATION MICRO LOISIRS,62.02A,ess_france|sirene,siren_direct
394509442,MULTIMEDIAS CHU POITIERS,62.01Z,ess_france|sirene,siren_direct
394578496,PYRENEES ATLANTIQUES TELEMATIQUE,63.11Z,ess_france|sirene,siren_direct
394737860,CLUB PHIGKS BX,62.01Z,ess_france|sirene,siren_direct
394756878,ASS FRANCO VIETN DIFFU INFORM GEST VIETN,62.02A,ess_france|sirene,siren_direct
394758247,DECLIC INFORMATIQUE,62.01Z,ess_france|sirene,siren_direct
394987622,ASS PICARDE PROMOTION INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
395076359,APPLICATIONS MICRO RESEAU INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
395110109,CLUB INFORMATIQUE DU GOLFE SAMBRACITAIN,62.02A,ess_france|sirene,siren_direct
395241672,A.N.T.A.R.T.I.Q.U.E.,62.02A,ess_france|sirene,siren_direct
395275886,ASSOCIATION CLUB INFOGRAMES,62.02A,ess_france|sirene,siren_direct
395322712,RESEAU PHAST,62.02A,ess_france|sirene,siren_direct
395372451,ASS INT CENTRES TELESERVICES COMMUNAUTE,63.11Z,ess_france|sirene,siren_direct
395390198,ASSINFO,62.01Z,ess_france|sirene,siren_direct
397423948,TROIZAIRE,62.02A,ess_france|sirene,siren_direct
397457144,ASS CONCEPTION INTEGRATION INFORMATIQUE,63.11Z,ess_france|sirene,siren_direct
397502931,DELTACAD,62.02B,ess_france|sirene,siren_direct
397530841,O K GESTION,62.02A,ess_france|sirene,siren_direct
397763384,FRANCE 8 POOL ALSACE LORRAINE,63.11Z,ess_france|sirene,siren_direct
398029520,VIT'INFO,62.02A,ess_france|sirene,siren_direct
398043307,ASS UTILISAT. DEVELOPP. AUTOMAT. LOGIC,62.02A,ess_france|sirene,siren_direct
398183582,CONCEPTION PROMOTION INFORMATIQUE ARTS,63.11Z,ess_france|sirene,siren_direct
398209445,OBSERVATOIRE REGIONAL DES TRANSPORTS ET DES MOBILITES DES PAYS DE LA LOIRE,63.11Z,ess_france|sirene,siren_direct
398667113,INSTITUT POUR L'HISTOIRE DE L'ALUMINIUM,63.11Z,ess_france|sirene,siren_direct
398821629,ASS ASTEX,62.01Z,ess_france|sirene,siren_direct
398864736,MICROPUCE,62.01Z,ess_france|sirene,siren_direct
398948752,ASSOC DES DEVELOPPEURS AMIGA,62.01Z,ess_france|sirene,siren_direct
398986844,APPLICATIONS MICRO,62.02A,ess_france|sirene,siren_direct
399167634,ORGAN REALIS INFORMATIQUES CONSEIL FORMA,62.02A,ess_france|sirene,siren_direct
399284306,JOKER INFORMATIQUE,62.01Z,ess_france|sirene,siren_direct
399319102,ASS FORMAT CONSEIL DEVELOP SYSTEMES UNIX,62.02A,ess_france|sirene,siren_direct
399432681,CLUB SERIE 3,63.11Z,ess_france|sirene,siren_direct
399524842,CONSEILS INFORMATIQUES AUX ASSOCIATIONS,62.02A,ess_france|sirene,siren_direct
399672120,MUSIC BOX,63.11Z,ess_france|sirene,siren_direct
399760925,CLUB IDI,62.02A,ess_france|sirene,siren_direct
400063269,ASSOCIATION MIC ROB,62.02A,ess_france|sirene,siren_direct
400123188,CHAMPAGNE-RELAIS,63.11Z,ess_france|sirene,siren_direct
400469607,ECHOSIGNE,63.11Z,ess_france|sirene,siren_direct
400522801,ASS. CAVALARE CONSEIL INFORMATIQUE FORMA,62.02A,ess_france|sirene,siren_direct
400732822,OBSERVATOIRE FRANCO ASIE,63.11Z,ess_france|sirene,siren_direct
400767570,ATELIER REVESTOIS INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
401095864,BUREAUTIQUE ET INFORMATIQUE,63.11Z,ess_france|sirene,siren_direct
401263629,CLUB SECURITE INFORMATIQUE REGION CENTRE,62.02A,ess_france|sirene,siren_direct
401416219,CLIGNOTANTS ENFANCE DANGER,62.02A,ess_france|sirene,siren_direct
401445572,ASSOCIATION CHRYSALIDE,63.11Z,ess_france|sirene,siren_direct
401644174,INFO BOURGOGNE FRANCHE COMTE,63.11Z,ess_france|sirene,siren_direct
401809603,L INFORMATIQUE APPLIQUEE DU DI,62.02A,ess_france|sirene,siren_direct
401963707,CASTELNAU MICRO,62.01Z,ess_france|sirene,siren_direct
401994066,CREATIF,63.11Z,ess_france|sirene,siren_direct
402171102,AIDE DEVELOPPEMENT RESEAU INFORMATIQ HAN,63.11Z,ess_france|sirene,siren_direct
402286744,CLUB INFORMATIQUE DE L ARTISANAT,62.02A,ess_france|sirene,siren_direct
402349864,MERCURE,62.02A,ess_france|sirene,siren_direct
402765416,CARESOFT,62.02A,ess_france|sirene,siren_direct
402820971,OMNI COM FRANCE,63.11Z,ess_france|sirene,siren_direct
402889448,CELY INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
402908800,INTITUT DS COMMUNI RESEAUX EUROPEENS,62.01Z,ess_france|sirene,siren_direct
402964159,WORLD WIDE WEB,63.11Z,ess_france|sirene,siren_direct
402985915,MICROCONCEPT,62.02A,ess_france|sirene,siren_direct
403156540,EXPERT- COMPTABLE MEDIA ASSOCIATION,63.12Z,ess_france|sirene,siren_direct
403284508,ROM CONCEPT,63.11Z,ess_france|sirene,siren_direct
403433535,INFOTRANS MARTINIQUE,63.11Z,ess_france|sirene,siren_direct
403442239,ASS INFORMATIQUE SERVICE ET ASSISTANCE,62.01Z,ess_france|sirene,siren_direct
403454853,ASS INFOTRANS NORD PAS DE CALAIS,63.11Z,ess_france|sirene,siren_direct
403503691,CREARTIS CD PROD,62.02A,ess_france|sirene,siren_direct
403708225,ASSOCIATION ADRISE,62.02A,ess_france|sirene,siren_direct
403790629,ASSOC RESEAU POITOU-CHARENTES,63.11Z,ess_france|sirene,siren_direct
403897465,CIFORM,62.02A,ess_france|sirene,siren_direct
403941263,TOUTES TECHN MICRO INFORM DE A AZ,62.02A,ess_france|sirene,siren_direct
404007619,DIFFUSION INFORMATIQ CONSEIL ORGANISAT,62.02A,ess_france|sirene,siren_direct
404110702,PAO,63.11Z,ess_france|sirene,siren_direct
404128076,STUR,58.29C,ess_france|sirene,siren_direct
404341935,GEDSIM,62.01Z,ess_france|sirene,siren_direct
404387920,ASS DEBOUT,63.11Z,ess_france|sirene,siren_direct
404422628,ASS STRUCTURE DEVELOPPEMENT APPLIQUE,58.29C,ess_france|sirene,siren_direct
404486490,ASSOCIATION AT LR,63.11Z,ess_france|sirene,siren_direct
404534513,INSTITUT REPONSES INFORMATIQUES,62.02A,ess_france|sirene,siren_direct
404728115,ASS MICROLOGS,62.02A,ess_france|sirene,siren_direct
405297268,SAISIE CONSEIL INFORMAT FORMATION,63.11Z,ess_france|sirene,siren_direct
407685817,DEVELOP.INFORMATIQ.MILIEU ASS.CULTUREL..,62.02A,ess_france|sirene,siren_direct
407844331,ASSOCIATION A.C.G.I.,62.02A,ess_france|sirene,siren_direct
408050672,HANTAMEDIA,63.11Z,ess_france|sirene,siren_direct
408260909,ETOILE PLUS,62.02A,ess_france|sirene,siren_direct
408478733,DATAKIT,62.01Z,ess_france|sirene,siren_direct
408830073,CARD,62.01Z,ess_france|sirene,siren_direct
408858645,CTRE DOCUMENTAIRE APPLIC INFORMATIQUE,58.29C,ess_france|sirene,siren_direct
409111242,LA CYBER NOSTRA,63.11Z,ess_france|sirene,siren_direct
409173119,TACHE D'ENCRE,63.11Z,ess_france|sirene,siren_direct
409193810,"ALIENOR.ORG, CONSEIL DES MUSEES",63.12Z,ess_france|sirene,siren_direct
409462173,NEURONNEXION,62.02B,ess_france|sirene,siren_direct
409583796,ASS PICARDE CHASSEURS GIBIER EAU,63.11Z,ess_france|sirene,siren_direct
409587888,INSITE,63.12Z,ess_france|sirene,siren_direct
409915154,DAVYTECH,62.02A,ess_france|sirene,siren_direct
410032742,WORLDWIDE INTERNET DEVLOPMENT,63.11Z,ess_france|sirene,siren_direct
410151138,ASS CONSEIL TELEMATIQUE INFORMATIQUE*,62.02A,ess_france|sirene,siren_direct
410210918,ASS DEVELOP CONNAISSANCES INFORMATIQUES,62.02A,ess_france|sirene,siren_direct
410298897,SILAC,62.02A,ess_france|sirene,siren_direct
410311971,ASS C:NET,62.02A,ess_france|sirene,siren_direct
410742118,ANIMA MUNDI,62.01Z,ess_france|sirene,siren_direct
410924765,ASSOC L'OEIL A L'ETAT SAUVAGE,58.29C,ess_france|sirene,siren_direct
410936884,RYX'S WEB,63.11Z,ess_france|sirene,siren_direct
411233760,INFOLOGIS,58.29C,ess_france|sirene,siren_direct
411386782,ASS BASE EUR DONNEES REANIMATION,63.11Z,ess_france|sirene,siren_direct
411393408,ASSOCIATION PREST'INFO,62.02A,ess_france|sirene,siren_direct
411399249,ASSOCIATION DEVELOPPEMENT MULTIMEDIA,62.01Z,ess_france|sirene,siren_direct
411476005,ALLIANCE INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
411533789,ASSOCIATION BISET INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
411760721,DOMILOG-ADMR,62.01Z,ess_france|sirene,siren_direct
411764376,INFOCONNEXION,62.01Z,ess_france|sirene,siren_direct
411862899,AFI TECHNOLOGIE,62.02A,ess_france|sirene,siren_direct
411953185,ASSOC FRANCAISE AUTEURS INFORMATIQ MULTI,62.01Z,ess_france|sirene,siren_direct
412183212,CLUB INFORMATIQUE DE LANDOS,62.02A,ess_france|sirene,siren_direct
412183949,CLUB INFORMATIQUE DE LANTRIAC,62.02A,ess_france|sirene,siren_direct
412403768,ASS PROSPECTIVE GESTION INFORMTIQUE PARI,63.11Z,ess_france|sirene,siren_direct
412543134,SYSTEME D'INFORMAT TECHN ENVIRONNEMENT,63.11Z,ess_france|sirene,siren_direct
412898629,INFINI,63.11Z,ess_france|sirene,siren_direct
413191529,PART'INFO,62.02A,ess_france|sirene,siren_direct
413246729,INFORMATIQUE SERVICE PLUS,62.02A,ess_france|sirene,siren_direct
413626474,TECHNO INFORMATION INFORMATIQUE MULTIMED,62.01Z,ess_france|sirene,siren_direct
414258335,ALINEA,62.02A,ess_france|sirene,siren_direct
414370783,ASSOC FRANCAISE UTILIS DE NOTES-DOMINO,62.02A,ess_france|sirene,siren_direct
414396168,ASS UTILISA DEVLP INFORMATIQ & TELEINFO,62.02A,ess_france|sirene,siren_direct
414426080,CLUB ARTISANS PTES ENTREP INFORMATISES,62.02A,ess_france|sirene,siren_direct
414442442,NOMAD MULTIMEDIA,62.01Z,ess_france|sirene,siren_direct
414757567,ASS FRANC NOMMAGE INTERNET EN COOP,63.11Z,ess_france|sirene,siren_direct
414859405,ASSOCIATION IRE,62.02A,ess_france|sirene,siren_direct
414965038,3ID,62.01Z,ess_france|sirene,siren_direct
414968180,LE POINT VILLAGES,62.02A,ess_france|sirene,siren_direct
415079433,CBAO,58.29C,ess_france|sirene,siren_direct
415095595,ASSOC AIDE DEPLOIEMENT INFORMAT RESEAU,62.02A,ess_france|sirene,siren_direct
417754918,INFORMATIQUE COMMUNICATION ET INTERNET,62.02A,ess_france|sirene,siren_direct
417876364,ALTERNET,62.02A,ess_france|sirene,siren_direct
418054003,INTERNET LIBRE ET OUVERT SUR LE GLOBE,63.11Z,ess_france|sirene,siren_direct
418060869,ASS CONSEIL INFOR ET GESTION,62.02A,ess_france|sirene,siren_direct
418155255,INSTITUT D'EXPERIMENTATION INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
418220810,ASSOCIATION L'INFORMATIQUE AUTREMENT,62.02A,ess_france|sirene,siren_direct
418224523,UTILISATEURS LOGICIELS SYNERGIE MYRIAM,62.02A,ess_france|sirene,siren_direct
418436580,LAETIS,62.01Z,ess_france|sirene,siren_direct
418647210,TRANS INFO TOURAINE,63.11Z,ess_france|sirene,siren_direct
418706198,RECHERCHE DEVELOPPEMENT ET INNOVATION,62.01Z,ess_france|sirene,siren_direct
418826699,ASSOCIATION TRANSLATION SOFTWARE,62.01Z,ess_france|sirene,siren_direct
419160239,APOLLOSTAR MM,62.01Z,ess_france|sirene,siren_direct
419173893,GROUPEMENT G 2 R 70,62.02A,ess_france|sirene,siren_direct
419289574,O.M.G.,63.11Z,ess_france|sirene,siren_direct
419472279,INFO-OG,62.01Z,ess_france|sirene,siren_direct
419547930,GROUPE HYDRIS COMMUNICATION,62.01Z,ess_france|sirene,siren_direct
419897855,ASS FRENCH DATA NETWORK,62.01Z,ess_france|sirene,siren_direct
419949177,ARCHI BAL COMPUTER,62.02A,ess_france|sirene,siren_direct
420030322,ASS PROGRAM IMPLEMENTATION SYSTEMES FINI,62.01Z,ess_france|sirene,siren_direct
420042749,FORMATION ET MICRO EDITION CORSAIRE,63.11Z,ess_france|sirene,siren_direct
420390833,LES NOUVEAUX MONDES,62.01Z,ess_france|sirene,siren_direct
420468548,POP'UP,62.02A,ess_france|sirene,siren_direct
420507097,VALORISATION PATRIMOINE AUDIOVISUEL ENTR,63.11Z,ess_france|sirene,siren_direct
420710436,CLUB INFORMATIQUE DE LA BOIXE,62.01Z,ess_france|sirene,siren_direct
420822181,ASS LA PEPINIERE,62.02A,ess_france|sirene,siren_direct
420829251,ASSOC INFORMAT COMMUNICAT SPECTACLE AICS,62.02A,ess_france|sirene,siren_direct
420944886,ASSOCIATION METZ CAMPUS,63.11Z,ess_france|sirene,siren_direct
420969503,ASS ICARE LOI 1901,62.01Z,ess_france|sirene,siren_direct
421054925,ASSOCIATION DU CETIR,62.02A,ess_france|sirene,siren_direct
421066952,ARKHAM,62.01Z,ess_france|sirene,siren_direct
421100827,SYNERGIE-SANTE,62.02A,ess_france|sirene,siren_direct
421191446,CULTURE WEB,62.02A,ess_france|sirene,siren_direct
421482845,INFORMATIQUE CONSEIL INTERNET,63.11Z,ess_france|sirene,siren_direct
421700162,MEDIA COMMUNICATION INFORMATION SERVICE,62.01Z,ess_france|sirene,siren_direct
421772591,ASSOCIATION KUBOS. ORG,63.11Z,ess_france|sirene,siren_direct
421804568,DEVELOP.NOUVELLE TECHNO PENSEE HOLIST.,63.11Z,ess_france|sirene,siren_direct
421860263,A.S.M,63.11Z,ess_france|sirene,siren_direct
421896721,COM'ON WEST,63.11Z,ess_france|sirene,siren_direct
422043729,ASSOCIATION A.G.E.S.E,62.02A,ess_france|sirene,siren_direct
422149310,ETUDES  SYSTEM INFORM COLL TERRITORIALES,62.02A,ess_france|sirene,siren_direct
422452599,BIOVERT,62.01Z,ess_france|sirene,siren_direct
422458190,GRABUGES,63.11Z,ess_france|sirene,siren_direct
422467464,AROBAS,62.02A,ess_france|sirene,siren_direct
422564310,ASSOCIATION PC MAINTENANT,63.11Z,ess_france|sirene,siren_direct
422674812,TECHNOPOLE 34,62.02A,ess_france|sirene,siren_direct
422795039,MULTIMEDIA SYSTEM RESEARCH DEVELOPPEMENT,62.01Z,ess_france|sirene,siren_direct
422960377,MICROTEL CLUB LIBOURNE,62.01Z,ess_france|sirene,siren_direct
422976738,NET-STUDIOS,62.02A,ess_france|sirene,siren_direct
423011816,POUR DEVELOPPEMENT L'INTERNET FRANCAIS,62.02A,ess_france|sirene,siren_direct
423019900,ASSITEL,62.02A,ess_france|sirene,siren_direct
423027770,ARIZONA,62.02A,ess_france|sirene,siren_direct
423125343,ASS PRODIGE,62.02A,ess_france|sirene,siren_direct
423239656,ASS CEZALLIER INFORMATIQUE,62.01Z,ess_france|sirene,siren_direct
423268077,NANTES WEB,62.01Z,ess_france|sirene,siren_direct
423316371,AIDE DEVELOPP COMMUN INFORMATIQUES,62.02A,ess_france|sirene,siren_direct
423336254,INFO RESSOURCES,62.02A,ess_france|sirene,siren_direct
423442003,PRESS NORMAN MULTI MEDIA,62.01Z,ess_france|sirene,siren_direct
423449362,ALTEAK,62.01Z,ess_france|sirene,siren_direct
423644962,UNION DES INITIATIVES LOTOISES,62.01Z,ess_france|sirene,siren_direct
423661552,EXPERIENCE HTML POINT NET,63.11Z,ess_france|sirene,siren_direct
423739697,UTILISATEURS SAP FRANCOPHONES,62.02A,ess_france|sirene,siren_direct
423994706,ASPODELK,62.01Z,ess_france|sirene,siren_direct
424003812,C.T.R. INFORMATIQUE,58.29C,ess_france|sirene,siren_direct
424042406,CLUB ADEMIR MICROTEL,62.02A,ess_france|sirene,siren_direct
424105278,INFORMATIQUE SERVICES,62.02A,ess_france|sirene,siren_direct
424222230,ASSOCIATION  E-MAGE,63.11Z,ess_france|sirene,siren_direct
424280881,ASSOC BUREAUTIQUE COMMUNICATION ABC,62.02A,ess_france|sirene,siren_direct
424397974,ASSOCIATION KOMMANDO,62.02A,ess_france|sirene,siren_direct
424435246,ASSOCIATION NIMES GESTION,62.02A,ess_france|sirene,siren_direct
424538171,MICRO COM,62.02A,ess_france|sirene,siren_direct
424571735,ASSOC. PROMOTION D'INTERNET EN LANGUEDOC,62.01Z,ess_france|sirene,siren_direct
424788693,INFORUM,63.11Z,ess_france|sirene,siren_direct
424789287,ASS EUROPEENNE PROMOTION PECHE,63.11Z,ess_france|sirene,siren_direct
424810687,ASSOCIATION COMPEAU,63.11Z,ess_france|sirene,siren_direct
424931467,NETMANIA,62.01Z,ess_france|sirene,siren_direct
424975555,GARD INFO EXPERT,62.02A,ess_france|sirene,siren_direct
424990182,ASSOCIATION WEB POUR TOUS,62.01Z,ess_france|sirene,siren_direct
425028966,ATELIER WEBCREATEUR. COM,63.11Z,ess_france|sirene,siren_direct
425047651,INTERMITTENCES,63.11Z,ess_france|sirene,siren_direct
425064490,ASS DE SERVICE CONSEILS D'INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
427711510,ASS  XJANET,62.02A,ess_france|sirene,siren_direct
428081269,ASS LANGUAGE SOFTWARE,62.01Z,ess_france|sirene,siren_direct
428253074,RESEAU DSI-EST,62.02A,ess_france|sirene,siren_direct
428276836,LE THE@TRE.COM,63.11Z,ess_france|sirene,siren_direct
428570519,ASSOCIATION POUR LA PROMOTION,62.02A,ess_france|sirene,siren_direct
428645493,ASSOCIATION LES SERVICES,63.11Z,ess_france|sirene,siren_direct
428671531,FORMATIK,62.02A,ess_france|sirene,siren_direct
428754485,ATLANTIQUE WEB,62.02A,ess_france|sirene,siren_direct
429175557,ASS ACIDEF,63.11Z,ess_france|sirene,siren_direct
429445430,ARTWEB,62.02A,ess_france|sirene,siren_direct
429670516,CITIESCOPE.COM .FR.,62.01Z,ess_france|sirene,siren_direct
429683634,GB INFOGRAPHIE SARL,63.11Z,ess_france|sirene,siren_direct
429707243,CYBER K'FE,63.11Z,ess_france|sirene,siren_direct
429866999,ECEDI,63.11Z,ess_france|sirene,siren_direct
429974603,ASSOCIATION LINGUAPOLIS,62.01Z,ess_france|sirene,siren_direct
429987043,SOLEIL BLEU,63.11Z,ess_france|sirene,siren_direct
430110874,POINTS DE FUITE,62.01Z,ess_france|sirene,siren_direct
430119404,EUROPEAN HERNIA SOCIETY GREPA,62.02A,ess_france|sirene,siren_direct
431212497,LE COIN ETUDIANT,62.01Z,ess_france|sirene,siren_direct
431390301,DECLIC NET,62.02A,ess_france|sirene,siren_direct
431414234,ASS PROMOTION ET DEFENSE DU CHAROLAIS,63.11Z,ess_france|sirene,siren_direct
431555945,LES BRIGADES CAROTATIVES,58.29C,ess_france|sirene,siren_direct
431565795,INTERNET MANAGEMENT AND GRAPHICS ENGINEE,62.01Z,ess_france|sirene,siren_direct
431567239,ARANTIS,62.02A,ess_france|sirene,siren_direct
431692995,KIBATIC,62.01Z,ess_france|sirene,siren_direct
431817527,YOKO ASSISTANCE INFORMATIQUE,62.01Z,ess_france|sirene,siren_direct
432011716,INSTITUT DOC SUR HISTOIRE FAMILLES,63.11Z,ess_france|sirene,siren_direct
432117448,ASS RESEAUX DE MICRO FINANCES,63.11Z,ess_france|sirene,siren_direct
432168367,ICONICEA,62.01Z,ess_france|sirene,siren_direct
432188019,FOCALIA,62.02A,ess_france|sirene,siren_direct
432270973,TURBO SOFT CRAFT,58.29C,ess_france|sirene,siren_direct
432303139,ENDERNET CONSULTING,62.01Z,ess_france|sirene,siren_direct
432401628,ASSOC FONDATION INTERNET NOUVEL. GENERAT,62.02A,ess_france|sirene,siren_direct
432735918,LES ZIDEES NET,62.01Z,ess_france|sirene,siren_direct
432797181,PUBLICOM - PUBLICATION ET COMMUNICATION,63.12Z,ess_france|sirene,siren_direct
432811115,ASS FRANCAISE DES UTILISATEURS OPX2,58.29C,ess_france|sirene,siren_direct
432899482,AGORA 21,62.01Z,ess_france|sirene,siren_direct
432943892,ASSOCIATION ANIMEDIACOM,62.01Z,ess_france|sirene,siren_direct
432999498,ODYS,62.02A,ess_france|sirene,siren_direct
433139912,LA VIE LOCALE,62.01Z,ess_france|sirene,siren_direct
433189792,INFORMATICLUB,62.02A,ess_france|sirene,siren_direct
433303757,OCTAVIALTA,63.11Z,ess_france|sirene,siren_direct
433410941,EPHICOM,62.01Z,ess_france|sirene,siren_direct
433466950,ARC EN LOGICIEL,58.29C,ess_france|sirene,siren_direct
433521135,INFOR MAIL,62.02A,ess_france|sirene,siren_direct
433536893,ASSOCIATION WEB GONES,62.02A,ess_france|sirene,siren_direct
433571197,ASS LOGISTIQ INFORMATIQUE ASSIS SERVICE,62.02A,ess_france|sirene,siren_direct
433583549,ESP@CE WEB:--S@VOIR REUSSIR,62.02A,ess_france|sirene,siren_direct
433673894,WEBNORD.COM,62.01Z,ess_france|sirene,siren_direct
433922028,INFO CONSEIL COM.,62.02A,ess_france|sirene,siren_direct
434145967,LIBERCITE,62.01Z,ess_france|sirene,siren_direct
434191409,VENT D'OUEST,58.29C,ess_france|sirene,siren_direct
434197117,CENTRE EUROPEEN DE TRANSFERT ET DE RECHERCHE EN INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
434225637,PENSE TETE,62.01Z,ess_france|sirene,siren_direct
434303715,VISUAL CONCEPT,62.02A,ess_france|sirene,siren_direct
434324737,ETUDES INFORMATIQUES GESTION,58.29C,ess_france|sirene,siren_direct
434410155,ASSOC PARISHOPPING,62.01Z,ess_france|sirene,siren_direct
434459707,AROBAS TECHNOLOGIE,62.02A,ess_france|sirene,siren_direct
434499950,CLUB INFORMATIQUE MULTIMEDIA - I2M,62.02A,ess_france|sirene,siren_direct
434510335,CYBER CONSEIL,62.02A,ess_france|sirene,siren_direct
434733994,ASS MUZIWEB.COM,63.11Z,ess_france|sirene,siren_direct
434761110,ADELYSNET,63.11Z,ess_france|sirene,siren_direct
434823803,JACHETE EN LORRAINE.COM,62.01Z,ess_france|sirene,siren_direct
434907499,DYNAMIC NAME SERVICE (DYN NS),62.01Z,ess_france|sirene,siren_direct
434976684,ASSOCIATION INFO SIC,62.01Z,ess_france|sirene,siren_direct
434996930,LES ARTISANS DU NET,58.29C,ess_france|sirene,siren_direct
435025325,IMS INFORMATIQUE MULTIMEDIAS SERVICES,62.01Z,ess_france|sirene,siren_direct
435092374,FORMATION ET CONCEPTION INFORMATIQUE,62.01Z,ess_france|sirene,siren_direct
435113485,LOGIN ASS JEUNES CHERCHEURS EN INFORMAT,62.01Z,ess_france|sirene,siren_direct
435187018,ASSOC FRANCAISE D'INFORMATIQUE GRAPHIQUE,62.02A,ess_france|sirene,siren_direct
435195326,AIDE DEVELOP NOUV TEHNIC INFO COMMUNICAT,62.01Z,ess_france|sirene,siren_direct
435288055,EPSI DEVELOP. ETUDES & FORMAT.INFORMATIQ,62.02A,ess_france|sirene,siren_direct
435299011,ASS POUR DEVELOP LOGIC BASES DE DONNEES,62.01Z,ess_france|sirene,siren_direct
435343652,SYNERGIE MULTIMEDIA,62.01Z,ess_france|sirene,siren_direct
437489941,MEMOIR TIANANMEN,58.29C,ess_france|sirene,siren_direct
437525611,ASOFT NYONS NUMERIQUE,62.02A,ess_france|sirene,siren_direct
437533185,TOURISME-RURAL.FR,62.01Z,ess_france|sirene,siren_direct
437636053,NET HOSTING,62.01Z,ess_france|sirene,siren_direct
437760267,ADHERENTS.COOP UNION COOPERATIVE AGRICOL,63.11Z,ess_france|sirene,siren_direct
437763295,ASS DECLIC INFORMATIQUE,62.02A,ess_france|sirene,siren_direct
437834583,WEB INDIES,62.02A,ess_france|sirene,siren_direct
