siren;sources;origines;methode_jointure;confiance_jointure;denomination;code_postal;commune;site_web;nom_structure_porteuse;naf;tranche_effectifs;categorie_juridique;denomination__tiers_lieux;code_postal__tiers_lieux;commune__tiers_lieux;site_web__tiers_lieux;denomination__ess_numerique;denomination__cate_juridique;nom_usage;famille_ess;naf_numerique;tags_numerique
302997986;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS DOCUMENTATION SCIENT INDUST COMMERCI;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
303891915;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASSOC FRANCAISE MICADO;;;;;63.11Z;2;9220.0;;;;;;;;association;True;hebergement
306016411;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CENTRE CULTUREL LUTHERIEN DE PARIS;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
306169905;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CARREFOUR INTERPROFESSIONNEL DU MONDE AGRICOLE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
306215179;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;FEDERATION ASSOCI REGIO PENELO;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
306387390;sirene;cate_juridique;siren_direct;;OFFICE POUR INFORMAT DOCUMENT APICULTURE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
307167965;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CELLULE ECONOM REGION AUVERGNE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
308051135;ess_france|sirene;ess_numerique;siren_direct;;ASS DEP MAIRES ADJOINTS ET CONSEIL GENER;;;;;62.02A;;;;;;;;;;;True;conseil_it
308208461;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ARSOE NORD EST;;;;;63.11Z;3;9220.0;;;;;;;;association;True;hebergement
308245828;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CENTRE LATINO AMERICAIN;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
308391358;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS SECR OBJE CONSCIENCE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
309032589;sirene;cate_juridique;siren_direct;;CENTRE INFORMATIQUE HLM DE PICARDIE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
309265981;tiers_lieux;tiers_lieux;scoring;1.0;Le Kaléidoscope;76140.0;LE PETIT QUEVILLY;http://www.le-kaleidoscope.fr;Les Copeaux Numériques;;;;;;;;;;;;False;
309266633;ess_france|sirene;ess_numerique;siren_direct;;CENTRE ECONOMIE GESTION POUR ARTISANS;;;;;62.02A;;;;;;;;;;;True;conseil_it
309370997;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CTRE INTERDEP TRAIT INFORM MUTUEL AGRI;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
309859767;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;GROUPE ETUDE RECHERCHE INFORMAT APPLIQ;;;;;62.01Z;NN;9220.0;;;;;;;;association;True;dev_logiciel
311158380;ess_france|sirene;ess_numerique;siren_direct;;CAICL INFORM CONSTR DE LORRAIN;;;;;63.11Z;;;;;;;;;;;True;hebergement
