siren,sources,origines,methode_jointure,confiance_jointure,denomination,code_postal,commune,site_web,nom_structure_porteuse,naf,tranche_effectifs,categorie_juridique,group_naf,group_cate,denomination__tiers_lieux,code_postal__tiers_lieux,commune__tiers_lieux,site_web__tiers_lieux,nom_usage,denomination__ess_x_naf,denomination__cate_x_naf,denomination__ess_flag_insee,famille_ess,naf_numerique,tags_numerique
421860263,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,A.S.M,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
421896721,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,COM'ON WEST,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
422043729,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION A.G.E.S.E,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
422149310,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ETUDES  SYSTEM INFORM COLL TERRITORIALES,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
422452599,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,BIOVERT,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
422458190,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,GRABUGES,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
422467464,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,AROBAS,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
422564310,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION PC MAINTENANT,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
422603753,sirene,cate_x_naf,siren_direct,1.0,ASS DEVELOPP INFORMATIQUE & TELEMATIQUE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
422674812,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,TECHNOPOLE 34,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
422795039,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,MULTIMEDIA SYSTEM RESEARCH DEVELOPPEMENT,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
422836635,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,THE MICROSTATION COMMUNITY FRANCE,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
422839902,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,ASSOCIATION AB-CYBER CREATION,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
422960377,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,MICROTEL CLUB LIBOURNE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
422976738,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,NET-STUDIOS,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
423011816,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,POUR DEVELOPPEMENT L'INTERNET FRANCAIS,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
423019900,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSITEL,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
423027770,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ARIZONA,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
423125343,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS PRODIGE,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
423239656,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS CEZALLIER INFORMATIQUE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
423268077,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,NANTES WEB,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
423316371,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,AIDE DEVELOPP COMMUN INFORMATIQUES,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
423336254,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INFO RESSOURCES,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
423442003,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,PRESS NORMAN MULTI MEDIA,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
423449362,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ALTEAK,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
423644962,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,UNION DES INITIATIVES LOTOISES,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
423661552,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,EXPERIENCE HTML POINT NET,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
423729094,sirene,ess_flag_insee,siren_direct,1.0,COGELIS,,,,,62.01Z,11,5710.0,,,,,,,,,,,,True,dev_logiciel
423739697,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,UTILISATEURS SAP FRANCOPHONES,,,,,62.02A,03,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
423994706,ess_france|sirene,ess_flag_insee|ess_x_naf,siren_direct,1.0,ASPODELK,,,,,62.01Z,01,5460.0,,,,,,,,,,,,True,dev_logiciel
424003812,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,C.T.R. INFORMATIQUE,,,,,58.29C,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,edition_logiciel
424042406,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CLUB ADEMIR MICROTEL,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
424105278,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INFORMATIQUE SERVICES,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
424222230,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION  E-MAGE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
424280881,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOC BUREAUTIQUE COMMUNICATION ABC,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
424343101,sirene,ess_flag_insee,siren_direct,1.0,MEDIATICE,,,,,62.02A,NN,5460.0,,,,,,,,,,,,True,conseil_it
424397974,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION KOMMANDO,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
424435246,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION NIMES GESTION,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
424538171,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,MICRO COM,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
424571735,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOC. PROMOTION D'INTERNET EN LANGUEDOC,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
424788693,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INFORUM,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
424789287,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS EUROPEENNE PROMOTION PECHE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
424810687,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION COMPEAU,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
424931467,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,NETMANIA,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
424975555,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,GARD INFO EXPERT,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
424990182,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION WEB POUR TOUS,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
425028966,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ATELIER WEBCREATEUR. COM,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
425047651,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INTERMITTENCES,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
425064490,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS DE SERVICE CONSEILS D'INFORMATIQUE,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
427711510,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS  XJANET,,,,,62.02A,NN,9230.0,group_naf_2,group_cate_2,,,,,,,,,association,True,conseil_it
428081269,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS LANGUAGE SOFTWARE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
428253074,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,RESEAU DSI-EST,,,,,62.02A,NN,9260.0,group_naf_2,group_cate_2,,,,,,,,,association,True,conseil_it
428276836,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,LE THE@TRE.COM,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
428570519,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION POUR LA PROMOTION,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
428645493,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION LES SERVICES,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
428671531,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,FORMATIK,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
428754485,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ATLANTIQUE WEB,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
428815708,sirene,ess_flag_insee,siren_direct,1.0,MAMASAM,,,,,62.01Z,02,5710.0,,,,,,,,,,,,True,dev_logiciel
429175557,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS ACIDEF,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
429445430,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ARTWEB,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
429670516,ess_france|sirene,ess_flag_insee|ess_x_naf,siren_direct,1.0,CITIESCOPE.COM .FR.,,,,,62.01Z,NN,5460.0,,,,,,,,,,,,True,dev_logiciel
429672538,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,WEB-ECONOMIE,,,,,62.01Z,NN,5458.0,group_naf_1,group_cate_2,,,,,,,,,cooperative,True,dev_logiciel
429683634,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,GB INFOGRAPHIE SARL,,,,,63.11Z,NN,5458.0,group_naf_1,group_cate_2,,,,,,,,,cooperative,True,hebergement
429707243,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CYBER K'FE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
429866999,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ECEDI,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
429974603,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION LINGUAPOLIS,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
429987043,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,SOLEIL BLEU,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
430044040,sirene,ess_flag_insee,siren_direct,1.0,SAGES INFORMATIQUE (SAUVEGARDE-ADMINISTRATION ET GESTION ELECTRONIQUE DE SUPPORTS INFORMATIQUES),,,,,63.11Z,22,5710.0,,,,,,,,,,,,True,hebergement
430110874,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,POINTS DE FUITE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
430119404,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,EUROPEAN HERNIA SOCIETY GREPA,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
430402446,tiers_lieux,tiers_lieux,scoring,1.0,La Labomedia,45000.0,ORLEANS,https://labomedia.org,,,,,,,,,,,,,,,,False,
431212497,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,LE COIN ETUDIANT,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
431390301,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,DECLIC NET,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
431414234,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS PROMOTION ET DEFENSE DU CHAROLAIS,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
431427327,sirene,cate_x_naf,siren_direct,1.0,CHATEAU FRANCE.COM,,,,,63.11Z,NN,9900.0,group_naf_1,group_cate_2,,,,,,,,,fondation,True,hebergement
431493865,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,AGENCE 3 D,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
431555945,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,LES BRIGADES CAROTATIVES,,,,,58.29C,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,edition_logiciel
431565795,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INTERNET MANAGEMENT AND GRAPHICS ENGINEE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
431567239,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ARANTIS,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
431692995,ess_france|sirene,ess_flag_insee|ess_x_naf,siren_direct,1.0,KIBATIC,,,,,62.01Z,02,5460.0,,,,,,,,,,,,True,dev_logiciel
431817527,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,YOKO ASSISTANCE INFORMATIQUE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
431883404,sirene,ess_flag_insee,siren_direct,1.0,ACTION AUDIT WEB,,,,,62.01Z,NN,5460.0,,,,,,,,,,,,True,dev_logiciel
431946482,sirene,cate_x_naf,siren_direct,1.0,SERVEUR WEB DERMATOLOGIE,,,,,63.11Z,NN,9210.0,group_naf_1,group_cate_2,,,,,,,,,association,True,hebergement
432011716,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INSTITUT DOC SUR HISTOIRE FAMILLES,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
432117448,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS RESEAUX DE MICRO FINANCES,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
432168367,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ICONICEA,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
432188019,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,FOCALIA,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
432270973,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,TURBO SOFT CRAFT,,,,,58.29C,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,edition_logiciel
432303139,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ENDERNET CONSULTING,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
432401628,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOC FONDATION INTERNET NOUVEL. GENERAT,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
432482479,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,INFORMATICA,,,,,58.29C,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,edition_logiciel
432524858,tiers_lieux,tiers_lieux,scoring,1.0,Le TiLT,7400.0,Le Teil,https://www.lezarts-collectif.com/,LEZ'ARTS Collectif d'artistes du spectacle vivant,,,,,,,,,,,,,,,False,
432665214,sirene,cate_x_naf,siren_direct,1.0,SYSTEME REGIONAL OBSERVATION TOURISME AU,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
432735918,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,LES ZIDEES NET,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
432797181,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,PUBLICOM - PUBLICATION ET COMMUNICATION,,,,,63.12Z,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,portail_web
432811115,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS FRANCAISE DES UTILISATEURS OPX2,,,,,58.29C,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,edition_logiciel
432887982,tiers_lieux,tiers_lieux,scoring,0.9,Le tiers lieu de Sorgues,84700.0,SORGUES,https://letierslieudesorgues.fr,provence numérique,,,,,,SCIC Provence Numerique,84170.0,MONTEUX,https://www.provencenumerique.Fr,,,,,,False,
432899482,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,AGORA 21,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
432943892,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION ANIMEDIACOM,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
432999498,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ODYS,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
433139912,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,LA VIE LOCALE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
433189792,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INFORMATICLUB,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
433254489,sirene,cate_x_naf,siren_direct,1.0,MINI WEB MULTILINGUE MAXI APPRENTISSAGE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
433303757,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,OCTAVIALTA,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
433410941,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,EPHICOM,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
433418506,sirene,ess_flag_insee,siren_direct,1.0,SYNTEN,,,,,62.02A,12,5710.0,,,,,,,,,,,,True,conseil_it
433466950,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ARC EN LOGICIEL,,,,,58.29C,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,edition_logiciel
433521135,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INFOR MAIL,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
433536893,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION WEB GONES,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
433563251,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,RAS,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
433571197,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS LOGISTIQ INFORMATIQUE ASSIS SERVICE,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
433583549,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ESP@CE WEB:--S@VOIR REUSSIR,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
433644697,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,BAYONNE INTER CULTURES,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
433673894,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,WEBNORD.COM,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
433922028,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INFO CONSEIL COM.,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
434107447,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,FORMAPLUS,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
434145967,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,LIBERCITE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
434188587,sirene,cate_x_naf,siren_direct,1.0,ASSOCIATION ECRAN 17,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
434191409,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,VENT D'OUEST,,,,,58.29C,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,edition_logiciel
434197117,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CENTRE EUROPEEN DE TRANSFERT ET DE RECHERCHE EN INFORMATIQUE,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
434225637,ess_france|sirene,ess_flag_insee|ess_x_naf,siren_direct,1.0,PENSE TETE,,,,,62.01Z,NN,5460.0,,,,,,,,,,,,True,dev_logiciel
434303715,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,VISUAL CONCEPT,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
434324737,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ETUDES INFORMATIQUES GESTION,,,,,58.29C,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,edition_logiciel
434410155,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOC PARISHOPPING,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
434459707,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,AROBAS TECHNOLOGIE,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
434499950,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CLUB INFORMATIQUE MULTIMEDIA - I2M,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
